goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/tip_200ms_after_complete-8         	       3	 284620670 ns/op	         0.6238 avg_cpu_cores	       689.0 components/block	       177.6 cpu-ms/block	       100.2 feed_lag_p50-ms	       190.3 feed_lag_p95-ms	         8.000 mean_width	       184.6 ready_p50-ms	       274.8 ready_p95-ms	        84.69 residual_p50-ms	        85.06 residual_p95-ms	     33760 signatures/block	    118614 signatures/s	         0.01488 submit_p50-ms	         0.01676 submit_p95-ms	44489685 B/op	   67548 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/tip_200ms_after_complete-8         	       3	 285857000 ns/op	         0.6282 avg_cpu_cores	       689.0 components/block	       179.6 cpu-ms/block	       100.4 feed_lag_p50-ms	       190.5 feed_lag_p95-ms	         8.000 mean_width	       185.9 ready_p50-ms	       276.0 ready_p95-ms	        85.29 residual_p50-ms	        87.23 residual_p95-ms	     33760 signatures/block	    118101 signatures/s	         0.01511 submit_p50-ms	         0.01781 submit_p95-ms	44627120 B/op	   67555 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/tip_200ms_after_complete-8         	       3	 290218004 ns/op	         0.6484 avg_cpu_cores	       689.0 components/block	       188.2 cpu-ms/block	       100.7 feed_lag_p50-ms	       190.8 feed_lag_p95-ms	         8.000 mean_width	       190.1 ready_p50-ms	       280.3 ready_p95-ms	        91.02 residual_p50-ms	        96.42 residual_p95-ms	     33760 signatures/block	    116326 signatures/s	         0.01466 submit_p50-ms	         0.02630 submit_p95-ms	44535536 B/op	   67551 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/tip_200ms_overlap-8                	       3	 200393747 ns/op	         0.9599 avg_cpu_cores	       689.0 components/block	       192.4 cpu-ms/block	         0.1208 feed_lag_p50-ms	         0.6496 feed_lag_p95-ms	         7.001 mean_width	         0.5021 ready_p50-ms	         1.098 ready_p95-ms	         0.3487 residual_p50-ms	         0.6362 residual_p95-ms	     33760 signatures/block	    168468 signatures/s	         0.0006010 submit_p50-ms	         0.002294 submit_p95-ms	45456104 B/op	   75154 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/tip_200ms_overlap-8                	       3	 200299620 ns/op	         0.9555 avg_cpu_cores	       689.0 components/block	       191.4 cpu-ms/block	         0.1164 feed_lag_p50-ms	         0.6451 feed_lag_p95-ms	         7.001 mean_width	         0.4922 ready_p50-ms	         1.083 ready_p95-ms	         0.2595 residual_p50-ms	         0.3970 residual_p95-ms	     33760 signatures/block	    168547 signatures/s	         0.0005810 submit_p50-ms	         0.001764 submit_p95-ms	45500650 B/op	   75145 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/tip_200ms_overlap-8                	       3	 200435552 ns/op	         1.129 avg_cpu_cores	       689.0 components/block	       226.3 cpu-ms/block	         0.08438 feed_lag_p50-ms	         0.7172 feed_lag_p95-ms	         7.001 mean_width	         0.5504 ready_p50-ms	         1.334 ready_p95-ms	         0.3419 residual_p50-ms	         0.6538 residual_p95-ms	     33760 signatures/block	    168433 signatures/s	         0.0009020 submit_p50-ms	         0.08766 submit_p95-ms	45547920 B/op	   75161 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_4tx_200ms_overlap-8         	       3	 200244671 ns/op	         0.03331 avg_cpu_cores	        64.00 components/block	         6.669 cpu-ms/block	         0.5335 feed_lag_p50-ms	         0.9768 feed_lag_p95-ms	         4.000 mean_width	         0.6135 ready_p50-ms	         1.060 ready_p95-ms	         0.2598 residual_p50-ms	         0.2713 residual_p95-ms	       256.0 signatures/block	      1278 signatures/s	         0.002525 submit_p50-ms	         0.008676 submit_p95-ms	  413741 B/op	    1227 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_4tx_200ms_overlap-8         	       3	 200802763 ns/op	         0.02071 avg_cpu_cores	        64.00 components/block	         4.159 cpu-ms/block	         0.5448 feed_lag_p50-ms	         0.9858 feed_lag_p95-ms	         4.000 mean_width	         0.5937 ready_p50-ms	         1.037 ready_p95-ms	         1.016 residual_p50-ms	         1.070 residual_p95-ms	       256.0 signatures/block	      1275 signatures/s	         0.001102 submit_p50-ms	         0.002816 submit_p95-ms	  413741 B/op	    1227 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_4tx_200ms_overlap-8         	       3	 200470397 ns/op	         0.02005 avg_cpu_cores	        64.00 components/block	         4.019 cpu-ms/block	         0.5300 feed_lag_p50-ms	         0.9483 feed_lag_p95-ms	         4.000 mean_width	         0.5769 ready_p50-ms	         1.000 ready_p95-ms	         0.3612 residual_p50-ms	         0.8751 residual_p95-ms	       256.0 signatures/block	      1277 signatures/s	         0.001022 submit_p50-ms	         0.003106 submit_p95-ms	  413741 B/op	    1227 allocs/op
BenchmarkTransactionVerificationFlow/generated_1232B/workers_2/target_8/sparse_7tx_200ms_overlap-8         	       3	 200530663 ns/op	         0.02064 avg_cpu_cores	        37.00 components/block	         4.138 cpu-ms/block	         0.5475 feed_lag_p50-ms	         1.006 feed_lag_p95-ms	         6.919 mean_width	         0.6508 ready_p50-ms	         1.095 ready_p95-ms	         0.2603 residual_p50-ms	         1.101 residual_p95-ms	       256.0 signatures/block	      1277 signatures/s	         0.001413 submit_p50-ms	         0.003417 submit_p95-ms	  381074 B/op	     931 allocs/op
