goos: linux
goarch: amd64
pkg: github.com/Overclock-Validator/mithril/pkg/turbine
cpu: AMD Ryzen 7 9700X 8-Core Processor             
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/tip_200ms_after_complete-8         	       3	 277358928 ns/op	         1.110 avg_cpu_cores	       126.0 components/block	       307.9 cpu-ms/block	        99.99 feed_lag_p50-ms	       191.2 feed_lag_p95-ms	         4.000 mean_width	       176.8 ready_p50-ms	       268.0 ready_p95-ms	        76.98 residual_p50-ms	        79.21 residual_p95-ms	     33760 signatures/block	    121720 signatures/s	         0.01168 submit_p50-ms	         0.01332 submit_p95-ms	 7033597 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/tip_200ms_after_complete-8         	       3	 281786997 ns/op	         1.134 avg_cpu_cores	       126.0 components/block	       319.5 cpu-ms/block	       100.1 feed_lag_p50-ms	       191.3 feed_lag_p95-ms	         4.000 mean_width	       181.5 ready_p50-ms	       272.7 ready_p95-ms	        77.53 residual_p50-ms	        90.55 residual_p95-ms	     33760 signatures/block	    119807 signatures/s	         0.01547 submit_p50-ms	         0.01700 submit_p95-ms	 7033605 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/tip_200ms_after_complete-8         	       3	 275851016 ns/op	         1.100 avg_cpu_cores	       126.0 components/block	       303.6 cpu-ms/block	       100.1 feed_lag_p50-ms	       191.3 feed_lag_p95-ms	         4.000 mean_width	       175.8 ready_p50-ms	       267.0 ready_p95-ms	        75.74 residual_p50-ms	        76.57 residual_p95-ms	     33760 signatures/block	    122385 signatures/s	         0.01534 submit_p50-ms	         0.01584 submit_p95-ms	 7033605 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/tip_200ms_overlap-8                	       3	 200706590 ns/op	         1.498 avg_cpu_cores	       126.0 components/block	       300.7 cpu-ms/block	         0.5031 feed_lag_p50-ms	         0.9977 feed_lag_p95-ms	         3.956 mean_width	         1.105 ready_p50-ms	         1.659 ready_p95-ms	         0.5523 residual_p50-ms	         1.056 residual_p95-ms	     33760 signatures/block	    168206 signatures/s	         0.001102 submit_p50-ms	         0.003366 submit_p95-ms	 7200192 B/op	   68942 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/tip_200ms_overlap-8                	       3	 200821431 ns/op	         1.836 avg_cpu_cores	       126.0 components/block	       368.8 cpu-ms/block	         0.3622 feed_lag_p50-ms	         1.002 feed_lag_p95-ms	         3.956 mean_width	         1.224 ready_p50-ms	         2.145 ready_p95-ms	         0.9866 residual_p50-ms	         1.055 residual_p95-ms	     33760 signatures/block	    168110 signatures/s	         0.002164 submit_p50-ms	         0.004518 submit_p95-ms	 7200909 B/op	   68946 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_4/tip_200ms_overlap-8                	       3	 201025437 ns/op	         1.586 avg_cpu_cores	       126.0 components/block	       318.8 cpu-ms/block	         0.4136 feed_lag_p50-ms	         0.9729 feed_lag_p95-ms	         3.956 mean_width	         1.214 ready_p50-ms	         1.677 ready_p95-ms	         1.053 residual_p50-ms	         1.325 residual_p95-ms	     33760 signatures/block	    167939 signatures/s	         0.001483 submit_p50-ms	         0.004278 submit_p95-ms	 7195901 B/op	   68936 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/catchup-8                          	       3	  38632690 ns/op	         4.029 avg_cpu_cores	         1.000 components/block	       155.7 cpu-ms/block	         0.0001700 feed_lag_p50-ms	         0.0004600 feed_lag_p95-ms	         8.000 mean_width	        38.50 ready_p50-ms	        38.98 ready_p95-ms	        38.50 residual_p50-ms	        38.98 residual_p95-ms	     33760 signatures/block	    873871 signatures/s	         0.004749 submit_p50-ms	         0.004749 submit_p95-ms	 7023658 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/catchup-8                          	       3	  38613093 ns/op	         4.016 avg_cpu_cores	         1.000 components/block	       155.1 cpu-ms/block	         0.0002600 feed_lag_p50-ms	         0.0005910 feed_lag_p95-ms	         8.000 mean_width	        38.29 ready_p50-ms	        39.67 ready_p95-ms	        38.29 residual_p50-ms	        39.67 residual_p95-ms	     33760 signatures/block	    874315 signatures/s	         0.004198 submit_p50-ms	         0.005150 submit_p95-ms	 7023658 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/catchup-8                          	       3	  40094161 ns/op	         3.977 avg_cpu_cores	         1.000 components/block	       159.5 cpu-ms/block	         0.0002410 feed_lag_p50-ms	         0.0003910 feed_lag_p95-ms	         8.000 mean_width	        40.29 ready_p50-ms	        40.86 ready_p95-ms	        40.29 residual_p50-ms	        40.86 residual_p95-ms	     33760 signatures/block	    842018 signatures/s	         0.004117 submit_p50-ms	         0.004779 submit_p95-ms	 7023653 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/tip_200ms_after_complete-8         	       3	 240210161 ns/op	         0.6517 avg_cpu_cores	       126.0 components/block	       156.5 cpu-ms/block	       100.2 feed_lag_p50-ms	       191.4 feed_lag_p95-ms	         8.000 mean_width	       139.7 ready_p50-ms	       230.9 ready_p95-ms	        39.96 residual_p50-ms	        41.70 residual_p95-ms	     33760 signatures/block	    140544 signatures/s	         0.01466 submit_p50-ms	         0.01629 submit_p95-ms	 7033861 B/op	   67539 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/tip_200ms_after_complete-8         	       3	 244046162 ns/op	         0.6703 avg_cpu_cores	       126.0 components/block	       163.6 cpu-ms/block	       100.1 feed_lag_p50-ms	       191.3 feed_lag_p95-ms	         8.000 mean_width	       143.7 ready_p50-ms	       234.9 ready_p95-ms	        41.63 residual_p50-ms	        50.78 residual_p95-ms	     33760 signatures/block	    138334 signatures/s	         0.01559 submit_p50-ms	         0.1937 submit_p95-ms	 7033853 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/tip_200ms_after_complete-8         	       3	 250358365 ns/op	         0.7621 avg_cpu_cores	       126.0 components/block	       190.8 cpu-ms/block	       100.1 feed_lag_p50-ms	       191.3 feed_lag_p95-ms	         8.000 mean_width	       150.0 ready_p50-ms	       241.2 ready_p95-ms	        50.84 residual_p50-ms	        52.16 residual_p95-ms	     33760 signatures/block	    134847 signatures/s	         0.01572 submit_p50-ms	         0.01687 submit_p95-ms	 7033853 B/op	   67538 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/tip_200ms_overlap-8                	       3	 200893667 ns/op	         0.8816 avg_cpu_cores	       126.0 components/block	       177.1 cpu-ms/block	         0.4989 feed_lag_p50-ms	         0.9857 feed_lag_p95-ms	         7.912 mean_width	         0.9093 ready_p50-ms	         1.428 ready_p95-ms	         0.8878 residual_p50-ms	         1.069 residual_p95-ms	     33760 signatures/block	    168049 signatures/s	         0.001713 submit_p50-ms	         0.005570 submit_p95-ms	 7225490 B/op	   68918 allocs/op
BenchmarkTransactionVerificationFlow/captured_2622581/workers_4/target_8/tip_200ms_overlap-8                	       3	 201019836 ns/op	         0.8626 avg_cpu_cores	       126.0 components/block	       173.4 cpu-ms/block	         0.5209 feed_lag_p50-ms	         1.002 feed_lag_p95-ms	         7.912 mean_width	         0.9120 ready_p50-ms	         1.381 ready_p95-ms	         1.081 residual_p50-ms	         1.125 residual_p95-ms	     33760 signatures/block	    167944 signatures/s	         0.001563 submit_p50-ms	         0.004458 submit_p95-ms	 7226130 B/op	   68919 allocs/op
